drug_a_ik14,drug_b_ik14,a_name,b_name,pair_id,n_faers_reports,faers_prr_max_strict,faers_ror95_lcl_max_strict,faers_pt_covered_strict,faers_best_pt_code_strict
XSBSKEQEUFOSDD,ZDIGNSYAACHWNL,Pentolinium,Brompheniramine,XSBSKEQEUFOSDD::ZDIGNSYAACHWNL,0,,,,
DIWRORZWFLOCLC,RHAXSHUQNIEUEY,Lorazepam,Epirizole,DIWRORZWFLOCLC::RHAXSHUQNIEUEY,0,,,,
MJJALKDDGIKVBE,UNRHXEPDKXPRTM,Ebastine,Sultopride,MJJALKDDGIKVBE::UNRHXEPDKXPRTM,0,,,,
BFPSDSIWYFKGBC,CIWBSHSKHKDKBQ,Chlorotrianisene,Ascorbic acid,BFPSDSIWYFKGBC::CIWBSHSKHKDKBQ,0,,,,
IJVCSMSMFSCRME,YCHYFHOSGQABSW,Dihydromorphine,Lenabasum,IJVCSMSMFSCRME::YCHYFHOSGQABSW,0,,,,
BMKDZUISNHGIBY,REQCZEXYDRLIBE,Dexrazoxane,Procainamide,BMKDZUISNHGIBY::REQCZEXYDRLIBE,0,,,,
IDBPHNDTYPBSNI,USSIQXCVUWKGNF,Alfentanil,Dextromethadone,IDBPHNDTYPBSNI::USSIQXCVUWKGNF,4,,,,
IAKHMKGGTNLKSZ,XUKUURHRXDUEBC,Colchicine,Atorvastatin,IAKHMKGGTNLKSZ::XUKUURHRXDUEBC,1687,4056.1589831968977,1393.2488874046676,1,18228476
LKCWBDHBTVXHDL,XDRYMKDFEDOLFX,Amikacin,Pentamidine,LKCWBDHBTVXHDL::XDRYMKDFEDOLFX,38,,,,
HMEDEBAJARCKCT,YTJIBEDMAQUYSZ,Azosemide,Cloprednol,HMEDEBAJARCKCT::YTJIBEDMAQUYSZ,0,,,,
OGDVEMNWJVYAJL,WAOQONBSWFLFPE,Ethylmorphine,Raclopride,OGDVEMNWJVYAJL::WAOQONBSWFLFPE,0,,,,
DALKLAYLIPSCQL,QKDRXGFQVGOQKS,Methylprednisolone aceponate,Sotagliflozin,DALKLAYLIPSCQL::QKDRXGFQVGOQKS,0,,,,
JFVZFKDSXNQEJW,OHRURASPPZQGQM,Tenofovir disoproxil,Romidepsin,JFVZFKDSXNQEJW::OHRURASPPZQGQM,0,,,,
AXKPFOAXAHJUAG,KLBQZWRITKRQQV,Pipamperone,Thioridazine,AXKPFOAXAHJUAG::KLBQZWRITKRQQV,1,,,,
HFHZKZSRXITVMK,UBQNRHZMVUUOMG,Oxyphenbutazone,Zonisamide,HFHZKZSRXITVMK::UBQNRHZMVUUOMG,0,,,,
JAUOIFJMECXRGI,JLVVSXFLKOJNIY,Desloratadine,Magnesium cation,JAUOIFJMECXRGI::JLVVSXFLKOJNIY,101,28114.490196078434,9981.503024540565,1,18615065
ASUTZQLVASHGKV,SLRCCWJSBJZJBV,Galantamine,beta-Isosparteine,ASUTZQLVASHGKV::SLRCCWJSBJZJBV,0,,,,
MBUVEWMHONZEQD,NJAGGYXZTILBMJ,Azelastine,Fazadinium bromide,MBUVEWMHONZEQD::NJAGGYXZTILBMJ,0,,,,
JYTNQNCOQXFQPK,NYMGNSNKLVNMIA,Suvorexant,Iproniazid,JYTNQNCOQXFQPK::NYMGNSNKLVNMIA,0,,,,
PMKMNTBZJOXTJW,ULSDMUVEXKOYBU,Brilaroxazine,Zolmitriptan,PMKMNTBZJOXTJW::ULSDMUVEXKOYBU,0,,,,
CPTBDICYNRMXFX,IZLPZXSZLLELBJ,Procarbazine,Captodiame,CPTBDICYNRMXFX::IZLPZXSZLLELBJ,0,,,,
BLCLNMBMMGCOAS,SRZNHPXWXCNNDU,Goserelin,Cefotetan,BLCLNMBMMGCOAS::SRZNHPXWXCNNDU,0,,,,
BMCQMVFGOVHVNG,OFHCOWSQAMBJIW,Hydrocortisone butyrate,Alfacalcidol,BMCQMVFGOVHVNG::OFHCOWSQAMBJIW,36,,,,
GFNANZIMVAIWHM,KZUIYQJTUIACIG,Triamcinolone,Nomegestrol,GFNANZIMVAIWHM::KZUIYQJTUIACIG,0,,,,
RPJPZDVUUKWPGT,WSVOMANDJDYYEY,9-(N-methyl-L-isoleucine)-cyclosporin A,Prednylidene,RPJPZDVUUKWPGT::WSVOMANDJDYYEY,0,,,,
BYJAVTDNIXVSPW,YNZXWQJZEDLQEG,Tetryzoline,Trimazosin,BYJAVTDNIXVSPW::YNZXWQJZEDLQEG,0,,,,
MTZBBNMLMNBNJL,PWWVAXIEGOYWEE,Xipamide,Promethazine,MTZBBNMLMNBNJL::PWWVAXIEGOYWEE,26,,,,
OYPPVKRFBIWMSX,WKRLQDKEXYKHJB,Zimelidine,Equilin,OYPPVKRFBIWMSX::WKRLQDKEXYKHJB,0,,,,
KPYSYYIEGFHWSV,UEQUQVLFIPOEMF,Arbaclofen,Mianserin,KPYSYYIEGFHWSV::UEQUQVLFIPOEMF,14,,,,
BGRJTUBHPOOWDU,CYXKNKQEMFBLER,Levosulpiride,Perhexiline,BGRJTUBHPOOWDU::CYXKNKQEMFBLER,0,,,,
DNZPLHRZXUJATK,HNSDLXPSAYFUHK,"Dihydro-2-thioxo-5-((5-(2-(trifluoromethyl)phenyl)-2-furanyl)methyl)-4,6(1H,5H)-pyrimidinedione",Docusate,DNZPLHRZXUJATK::HNSDLXPSAYFUHK,0,,,,
OEHFRZLKGRKFAS,ZROLHBHDLIHEMS,Droxicam,Tetrahydrocannabivarin,OEHFRZLKGRKFAS::ZROLHBHDLIHEMS,0,,,,
